date,open,high,low,close,volume
2025-06-03,1.9766434225203886,2.005429465127447,1.9190713373062718,1.94785737991333,7981200
2025-06-04,1.9478573076588093,1.957452654838562,1.9190712661195506,1.957452654838562,10628000
2025-06-05,1.9478573590173056,1.967048053882806,1.9190713167190552,1.9190713167190552,4508400
2025-06-06,1.9190712911688106,1.9574526803888068,1.9094759438638116,1.9382619857788086,9539300
2025-06-09,1.938262032377644,1.9574527274490163,1.9094759897705857,1.94785737991333,10188000
2025-06-10,1.9382620271097146,2.0054294596769657,1.9382620271097146,1.9958341121673584,9761600
2025-06-11,2.015024709109768,2.0438109790086134,1.9766433209394672,2.0246200561523438,6890600
2025-06-12,2.0246202483900553,2.0342155963437087,1.967048160668133,2.0150249004364014,5563100
2025-06-13,1.9670480954719811,2.005429486014477,1.9670480954719811,1.976643443107605,2807000
2025-06-16,1.976643282227438,2.0630016326904297,1.967047935372785,2.0630016326904297,11619500
2025-06-17,2.0630018689758107,2.072597216929464,1.995834204529094,2.0150249004364014,8536800
2025-06-18,2.015024709109768,2.0438109790086134,2.005429362067193,2.0246200561523438,4454600
2025-06-19,2.0246201546961804,2.043811078486525,1.9958341121673584,1.9958341121673584,2515000
2025-06-20,1.995834204529094,2.053406521022157,1.995834204529094,2.0150249004364014,13746800
2025-06-23,1.995833945532024,1.995833945532024,1.947857211989641,1.9862385988235474,4295900
2025-06-24,1.995834204529094,2.0246202483900553,1.995834204529094,2.0150249004364014,3482000
2025-06-25,2.005429547370758,2.110978603363037,2.005429547370758,2.110978603363037,6935200
2025-06-26,2.1109784586704974,2.1397645004850028,2.0917877641274942,2.130169153213501,6535200
2025-06-30,2.1301691002891023,2.2261225706201397,2.1205737532559987,2.216527223587036,13573100
2025-07-01,2.2165271277177645,2.2549085141901073,2.178145741245422,2.2453131675720215,8976400
2025-07-02,2.2453134522902927,2.254908800125122,2.2261227566206343,2.254908800125122,7114800
2025-07-03,2.2549086088202976,2.283694878653717,2.2357179147787636,2.2645039558410645,8337600
2025-07-04,2.264504054168301,2.264504054168301,2.226122664418672,2.235718011856079,2410300
2025-07-07,2.2357178209539357,2.2740992074262785,2.2261224743358503,2.2453131675720215,4506700
2025-07-08,2.2453133592934864,2.2549087067308937,2.226122664418672,2.235718011856079,2765200
2025-07-09,2.2357178209539357,2.2645038608081927,2.2069317810996787,2.2453131675720215,4876100
2025-07-10,2.2453134522902927,2.2645041479599515,2.2069320609509755,2.254908800125122,4669400
2025-07-11,2.2549086072122324,2.466006470289681,2.235717913184384,2.456411123275757,19084000
2025-07-14,2.427625225843742,2.456411268588395,2.3700531403544356,2.437220573425293,12716700
2025-07-15,2.437220384234024,2.4564110779074326,2.398838996887207,2.398838996887207,7271200
2025-07-16,2.4372203823120975,2.4947924632869234,2.3892436481664094,2.4468157291412354,8380000
2025-07-17,2.4468157291412354,2.485197116457786,2.4180296886538226,2.4468157291412354,9089600
2025-07-18,2.446815633782557,2.4564109802377394,2.3796482085962807,2.4276249408721924,6728000
2025-07-21,2.446815680703991,2.4947924138999302,2.4180296407864277,2.485197067260742,2977600
2025-07-22,2.4947925113314535,2.5043878583453774,2.446815776261833,2.456411123275757,4338900
2025-07-23,2.4564109802377394,2.4756016731481045,2.3988389015066454,2.4276249408721924,4430400
2025-07-24,2.4180296886538226,2.456411075970373,2.3988389949955473,2.4468157291412354,5623200
2025-07-25,2.4276252189650256,2.600341703714682,2.4276252189650256,2.581151008605957,18471200
2025-07-28,2.5715556610515944,2.6291277463777694,2.542769618388507,2.581151008605957,10932800
2025-07-29,2.590746309232548,2.60993700399366,2.5523649197103233,2.5715556144714355,13131200
