date,open,high,low,close,volume
2025-06-03,1.6190638247104232,1.6378901299862323,1.5814111019451738,1.6284769773483276,13588500
2025-06-04,1.6378900985761922,1.6567164034909667,1.5814110716182397,1.600237488746643,15216600
2025-06-05,1.6096507308917094,1.6661296487829662,1.6002375779098332,1.6473033428192139,13582700
2025-06-06,1.6378900737683393,1.6849558353424072,1.6284769214535257,1.6849558353424072,9795600
2025-06-09,1.694369017169146,1.694369017169146,1.6661295597328403,1.6755427122116089,5798700
2025-06-10,1.6755427122116089,1.713195434340312,1.6661295597328403,1.6755427122116089,11170500
2025-06-11,1.6755426830275937,1.7037821399720343,1.6755426830275937,1.6849558353424072,9015200
2025-06-12,1.684955985455585,1.7037822917624528,1.6284770665349817,1.6378902196884155,13854500
2025-06-13,1.6284769993137505,1.6473033048434949,1.5814111232757568,1.5814111232757568,13786300
2025-06-16,1.5814111007712968,1.6096506708776792,1.5437584902476278,1.5908243656158447,17280500
2025-06-17,1.6002375097936685,1.619063814956055,1.5531716346740723,1.5531716346740723,11035100
2025-06-18,1.5531716142460779,1.600237488746643,1.5531716142460779,1.600237488746643,8886800
2025-06-19,1.6002375712239418,1.6002375712239418,1.5343453884124756,1.5343453884124756,8594100
2025-06-20,1.543758482092879,1.5625847872552654,1.5061058717681062,1.5531716346740723,23897800
2025-06-23,1.5249322954637583,1.5343454487766377,1.4966928355251203,1.515519142150879,5889000
2025-06-24,1.5343453295116858,1.5625847872552654,1.5249321769304927,1.5531716346740723,6208500
2025-06-25,1.5531717009749961,1.609650731086731,1.5531717009749961,1.609650731086731,9178000
2025-06-26,1.6096506623748617,1.6096506623748617,1.5531716346740723,1.5531716346740723,17101800
2025-06-30,1.5719979398364587,1.6002375097936685,1.5155190243492993,1.5531716346740723,22307700
2025-07-01,1.5625847955094623,1.600237518246762,1.5437584902476278,1.5908243656158447,12649800
2025-07-02,1.5908243362892558,1.600237488746643,1.5719979191608524,1.600237488746643,5465500
2025-07-03,1.60023760707468,1.6473033728418494,1.60023760707468,1.6378902196884155,13366800
2025-07-04,1.637890128770431,1.6473032814013482,1.5814111007712968,1.5908243656158447,7462800
2025-07-07,1.5908243572124752,1.6002375097936685,1.5343453295116858,1.5531716346740723,13710700
2025-07-08,1.55317166498114,1.5908243882542614,1.5343453594513956,1.5814111232757568,11075400
2025-07-09,1.5814111232757568,1.5908243882542614,1.5625848177460124,1.5814111232757568,6679300
2025-07-10,1.581411033164163,1.5908242976062834,1.5625847287071748,1.571997880935669,9871700
2025-07-11,1.5719979481403794,1.600237518246762,1.5625847955094623,1.5908243656158447,13431500
