date,open,high,low,close,volume
2025-06-03,6.723352435098301,6.8122074644882185,6.654242915487244,6.664115905761719,7681700
2025-06-04,6.7134800728727155,6.7134800728727155,6.664116061884053,6.703607082366943,5068500
2025-06-05,6.703607314391002,6.802334869015367,6.683861803466129,6.792462348937988,3966500
2025-06-06,6.812207542225167,6.831953052229353,6.772716522216797,6.772716522216797,1949400
2025-06-09,6.782588722985898,6.812207221984863,6.743097704833992,6.812207221984863,2978700
2025-06-10,6.812207298658404,6.812207298658404,6.802334308624268,6.802334308624268,2149800
2025-06-11,6.812207542225167,6.812207542225167,6.743098021825473,6.772716522216797,8826300
2025-06-12,6.79246171290891,6.861570759289711,6.782588722985898,6.812207221984863,4931100
2025-06-13,6.79246171290891,6.812207221984863,6.782588722985898,6.812207221984863,6785900
2025-06-16,6.812207139474936,6.841825167345095,6.802334149671506,6.822079658508301,4194500
2025-06-17,6.812207298658404,6.822079817922463,6.752970770763818,6.802334308624268,1739000
2025-06-18,6.81220761981395,6.81220761981395,6.7134800686685505,6.762843608856201,9915800
2025-06-19,6.743098098627121,6.772716599355791,6.743098098627121,6.762843608856201,5137500
2025-06-20,6.752971089126711,6.782589119085282,6.7134800686685505,6.762843608856201,10236000
2025-06-23,6.683861567939882,6.782589119085282,6.673989048210391,6.762843608856201,2185400
2025-06-24,6.7134797594179805,6.752970778057021,6.5061516761779785,6.5061516761779785,2477800
2025-06-25,6.516024268097617,6.66411582503008,6.516024268097617,6.614751815795898,6246300
2025-06-26,6.614752132033442,6.683861654111262,6.5950066215497944,6.63449764251709,2382900
2025-06-30,6.644370787818799,6.752971333392035,6.5851342549888825,6.7332258224487305,7241200
2025-07-01,6.733225505742087,6.733225505742087,6.664115985306124,6.713479995727539,1349200
2025-07-02,6.713480228309306,6.743098258972168,6.703607237574946,6.743098258972168,3274300
2025-07-03,6.743098098627121,6.802334629314362,6.73322557889763,6.762843608856201,3874000
2025-07-04,6.733225425372775,6.743097944877162,6.654242915487244,6.664115905761719,2298800
2025-07-07,6.664116143627615,6.664116143627615,6.624625122660318,6.63449764251709,1644700
2025-07-08,6.614751815795898,6.634497325335555,6.595006306256242,6.614751815795898,2233800
2025-07-09,6.614752059403642,6.614752059403642,6.575261038869956,6.585134029388428,1417700
2025-07-10,6.575260721939749,6.614751740569952,6.446915146776629,6.565388202667236,3335800
